CaseID,Consent,English_Fluency,Over_18,Age,Gender,Gender_text,Been_in_prison,Viol1_UH1_refined,Viol1_UH2_rational-and-logical,Viol1_UH3_sense-of-morality,Viol1_UH4_civilised,Viol1_HN1_open-minded,Viol1_HN2_emotionally-responsive,Viol1_HN3_depth-of-character,Viol1_HN4_interpersonally-warm,Viol1_harm,Viol2_UH1_refined,Viol2_UH2_rational-and-logical,Viol2_UH3_sense-of-morality,Viol2_UH4_civilised,Viol2_HN1_open-minded,Viol2_HN2_emotionally-responsive,Viol2_HN3_depth-of-character,Viol2_HN4_interpersonally-warm,Viol2_harm,Viol3_UH1_refined,Viol3_UH2_rational-and-logical,Viol3_UH3_sense-of-morality,Viol3_UH4_civilised,Viol3_HN1_open-minded,Viol3_HN2_emotionally-responsive,Viol3_HN3_depth-of-character,Viol3_HN4_interpersonally-warm,Viol3_harm,Viol4_UH1_refined,Viol4_UH2_rational-and-logical,Viol4_UH3_sense-of-morality,Viol4_UH4_civilised,Viol4_HN1_open-minded,Viol4_HN2_emotionally-responsive,Viol4_HN3_depth-of-character,Viol4_HN4_interpersonally-warm,Viol4_harm,Viol5_UH1_refined,Viol5_UH2_rational-and-logical,Viol5_UH3_sense-of-morality,Viol5_UH4_civilised,Viol5_HN1_open-minded,Viol5_HN2_emotionally-responsive,Viol5_U_HN3_depth-of-character,Viol5_HN4_interpersonally-warm,Viol5_harm,UH_mean,HN_mean,Harm_mean,Outlier_Animalistic_model,Outlier_Mechanistic_model
89,I agree to the above and consent to my participation in this study,Yes,Yes,43,Female,,No,15,15,10,17,12,16,17,17,97,13,19,13,12,12,11,10,13,91,21,30,28,27,27,26,30,23,81,2,4,31,26,10,31,31,13,68,10,13,12,10,14,13,14,11,86,16.4,17.55,84.6,No,No
90,I agree to the above and consent to my participation in this study,Yes,Yes,21,Male,,No,81,12,11,0,72,82,52,79,85,46,19,46,43,20,83,70,74,82,20,23,68,0,50,77,68,34,73,65,8,15,0,12,67,77,80,100,73,0,10,0,7,85,85,77,100,27,62.55,88,No,Yes
91,I agree to the above and consent to my participation in this study,Yes,Yes,30,Female,,No,25,0,8,5,51,25,68,11,75,10,85,5,3,0,2,2,1,73,8,39,29,26,3,18,64,8,84,5,18,37,7,19,70,29,39,63,5,16,64,35,3,82,61,4,71,21.5,28,73.2,No,No
92,I agree to the above and consent to my participation in this study,Yes,Yes,19,Female,,No,58,38,38,0,51,39,40,69,68,0,0,0,0,0,0,45,40,94,40,0,0,0,0,20,33,33,89,31,0,0,0,0,29,36,24,85,32,0,0,0,40,0,30,40,100,11.85,28.45,87.2,No,No
93,I agree to the above and consent to my participation in this study,Yes,Yes,22,Female,,No,0,17,5,0,12,58,58,13,60,0,0,0,0,0,100,11,0,63,26,26,20,0,27,26,51,0,51,0,6,6,0,49,100,80,16,16,0,0,0,0,0,100,0,0,100,5.3,35.05,58,No,No
94,I agree to the above and consent to my participation in this study,Yes,Yes,23,Female,,No,38,32,31,32,30,32,32,31,57,37,28,30,31,30,38,29,33,41,33,24,24,23,31,23,23,27,78,27,29,32,34,27,55,25,30,72,13,15,14,13,12,15,13,16,65,27,27.6,62.6,No,No
95,I agree to the above and consent to my participation in this study,Yes,Yes,18,"Other, please specify:",Non-binary,No,21,68,14,0,31,81,75,75,71,0,0,0,0,0,86,17,0,89,64,100,71,59,74,83,85,62,62,15,0,14,0,21,100,72,18,65,0,11,51,0,70,75,55,13,83,24.4,54.65,74,No,No
96,I agree to the above and consent to my participation in this study,Yes,Yes,22,Male,,No,28,31,77,60,32,84,79,56,70,0,0,0,0,0,92,0,0,100,0,10,0,0,0,0,16,16,100,0,0,0,0,0,93,59,0,83,0,0,0,0,0,100,19,6,100,10.3,32.6,90.6,No,No
97,I agree to the above and consent to my participation in this study,Yes,Yes,23,Male,,No,0,0,0,0,0,0,4,0,90,0,0,0,0,0,0,67,0,79,8,0,8,0,8,8,69,0,100,0,14,7,0,0,20,78,17,70,0,0,0,1,0,6,77,0,90,1.9,17.7,85.8,No,No
98,I agree to the above and consent to my participation in this study,Yes,Yes,41,Male,,No,0,10,7,1,0,72,29,10,78,1,3,8,4,2,67,72,15,85,0,0,0,0,5,67,32,3,95,1,3,10,3,8,67,7,6,68,4,4,5,0,17,66,61,7,84,3.2,30.65,82,No,No
99,I agree to the above and consent to my participation in this study,Yes,Yes,25,Male,,No,20,39,0,11,65,76,43,8,65,5,5,23,7,17,75,61,0,96,68,9,10,0,33,10,10,8,85,13,27,10,10,6,83,35,24,79,34,9,15,12,32,74,71,61,70,16.35,39.6,79,No,No
100,I agree to the above and consent to my participation in this study,Yes,Yes,22,Female,,No,0,0,0,94,7,85,19,0,98,0,5,0,0,13,1,2,13,98,18,4,0,0,0,9,2,5,100,25,5,14,0,22,13,6,28,24,0,0,0,0,1,16,1,1,100,8.25,12.2,84,No,No
