CaseID,Desirability_condition,Consent,English_Fluency,Over_18,Age,Gender,Gender_text,Been_in_prison,Thief1_UH1_cultured/corrupt,Thief1_UH2_civilised/controlling,Thief1_UH3_sophisticated/arrogant,Thief1_UH4_moral/bitter,Thief1_HN1_generous/jealous,Thief1_HN2_open-minded/selfish,Thief1_HN3_warm/spiteful,Thief1_HN4_kind/cruel,Thief1_harm,Thief2_UH1_cultured/corrupt,Thief2_UH2_civilised/controlling,Thief2_UH3_sophisticated/arrogant,Thief2_UH4_moral/bitter,Thief2_HN1_generous/jealous,Thief2_HN2_open-minded/selfish,Thief2_HN3_warm/spiteful,Thief2_HN4_kind/cruel,Thief2_harm,Thief3_UH1_cultured/corrupt,Thief3_UH2_civilised/controlling,Thief3_UH3_sophisticated/arrogant,Thief3_UH4_moral/bitter,Thief3_HN1_generous/jealous,Thief3_HN2_open-minded/selfish,Thief3_HN3_warm/spiteful,Thief3_HN4_kind/cruel,Thief3_harm,Thief4_UH1_cultured/corrupt,Thief4_UH2_civilised/controlling,Thief4_UH3_sophisticated/arrogant,Thief4_UH4_moral/bitter,Thief4_HN1_generous/jealous,Thief4_HN2_open-minded/selfish,Thief4_HN3_warm/spiteful,Thief4_HN4_kind/cruel,Thief4_harm,Thief5_UH1_cultured/corrupt,Thief5_UH2_civilised/controlling,Thief5_UH3_sophisticated/arrogant,Thief5_UH4_moral/bitter,Thief5_HN1_generous/jealous,Thief5_HN2_open-minded/selfish,Thief5_HN3_warm/spiteful,Thief5_HN4_kind/cruel,Thief5_harm,UH_mean,HN_mean,Harm_mean,Outliers_Animalistic_model,Outliers_Mechanistic_model
87,1,I agree to the above and consent to my participation in this study,Yes,Yes,27,Female,,No,100,100,100,100,81,100,90,93,91,100,90,83,83,65,85,91,82,85,100,51,51,100,51,100,100,100,100,100,100,96,84,87,100,96,92,89,100,100,100,100,100,100,100,100,100,91.9,90.65,93,No,No
88,1,I agree to the above and consent to my participation in this study,Yes,Yes,25,Female,,No,77,38,84,83,26,86,92,39,57,100,47,89,56,100,100,100,100,80,100,100,99,40,97,100,42,62,69,100,33,84,64,46,71,58,0,47,47,79,67,82,51,79,79,41,60,73.45,68.45,62.6,No,No
89,1,I agree to the above and consent to my participation in this study,Yes,Yes,25,Male,,No,68,35,82,64,56,81,35,75,83,100,84,84,88,81,100,62,90,100,100,69,100,79,78,100,77,100,100,74,59,3,36,0,33,61,40,50,40,38,76,38,77,74,67,40,62,65.85,66.35,79,No,No
90,1,I agree to the above and consent to my participation in this study,Yes,Yes,27,Male,,No,21,33,26,77,82,32,81,62,64,94,39,67,66,24,81,94,77,79,77,26,50,23,67,60,100,63,65,95,56,71,93,73,56,92,30,25,17,36,60,80,93,73,83,34,37,55.35,67.85,54,No,No
91,1,I agree to the above and consent to my participation in this study,Yes,Yes,21,Male,,No,59,74,53,71,59,63,70,55,60,89,68,51,74,53,68,65,63,67,59,54,57,62,70,63,55,53,50,65,53,77,71,80,67,68,72,69,74,51,71,72,80,74,55,65,51,65.25,64.9,59.4,No,No
92,1,I agree to the above and consent to my participation in this study,Yes,Yes,23,Male,,No,100,0,91,84,61,100,77,100,63,92,32,82,81,100,100,61,84,35,100,65,89,77,100,100,79,100,86,96,33,79,69,76,100,47,81,62,100,63,67,83,100,100,69,87,65,74.15,86.1,62.2,No,No
93,1,I agree to the above and consent to my participation in this study,Yes,Yes,19,Male,,No,74,53,44,57,49,54,56,47,62,89,58,77,70,84,84,66,75,81,73,60,67,71,76,65,58,57,55,90,90,89,92,51,100,92,74,98,66,77,76,84,82,78,66,42,64,72.85,67.8,72,No,No
94,1,I agree to the above and consent to my participation in this study,Yes,Yes,21,Male,,No,69,29,65,81,73,82,32,60,29,100,100,100,100,100,100,100,100,77,100,72,80,75,100,100,70,100,75,100,100,100,100,100,100,100,100,100,75,77,57,31,100,76,28,29,15,80.55,82.5,59.2,No,No
95,1,I agree to the above and consent to my participation in this study,Yes,Yes,41,Female,,No,67,77,85,76,95,98,78,79,64,80,80,83,81,75,83,85,85,77,86,36,87,76,72,93,41,78,64,90,46,96,68,82,97,58,95,82,90,63,83,65,91,86,58,72,81,75.75,80.05,73.6,No,No
96,1,I agree to the above and consent to my participation in this study,Yes,Yes,49,Male,,No,93,62,74,82,60,94,66,92,63,96,38,54,76,65,98,82,98,87,73,55,80,59,80,83,62,70,77,90,63,82,60,63,85,76,87,87,79,47,74,66,81,86,80,84,70,70.15,79.6,76.8,No,No
97,1,I agree to the above and consent to my participation in this study,Yes,Yes,18,Male,,No,40,54,63,40,64,75,38,41,40,100,71,100,57,50,100,71,100,58,84,38,32,33,51,92,22,67,57,70,62,75,33,23,100,63,100,35,85,62,66,29,85,100,32,83,37,59.7,67.85,45.4,No,No
98,1,I agree to the above and consent to my participation in this study,Yes,Yes,31,Female,,No,82,53,55,65,65,57,55,69,78,85,44,52,59,43,56,52,62,75,86,58,47,58,54,54,50,66,93,95,39,46,46,48,44,55,51,75,75,47,51,70,79,70,71,66,60,60.65,58.35,76.2,No,No
99,1,I agree to the above and consent to my participation in this study,Yes,Yes,29,Male,,No,51,52,51,60,66,78,51,69,75,76,51,51,51,51,66,51,51,50,100,71,73,73,51,100,72,84,87,80,51,51,51,51,72,52,61,68,51,51,51,52,52,51,51,51,70,59.9,61.55,70,No,No
100,1,I agree to the above and consent to my participation in this study,Yes,Yes,24,Female,,No,100,48,58,77,100,100,58,100,63,100,51,100,100,100,100,100,100,70,100,53,63,68,100,77,51,98,61,100,51,58,50,76,100,51,60,70,78,49,49,48,100,100,49,100,63,70.05,86,65.4,No,No
101,1,I agree to the above and consent to my participation in this study,Yes,Yes,40,Male,,No,89,81,87,79,78,92,100,86,78,98,85,97,84,80,85,100,100,84,100,83,83,68,75,100,100,87,87,100,87,86,83,81,87,90,92,88,100,78,100,100,100,100,100,100,83,88.4,91.65,84,No,No
102,1,I agree to the above and consent to my participation in this study,Yes,Yes,41,Female,,No,100,51,51,51,68,52,51,51,65,100,51,51,51,51,77,51,70,75,100,54,66,52,51,100,53,51,79,100,51,51,51,51,100,51,51,75,100,71,51,51,100,74,51,51,71,65.2,62.75,73,No,No
103,1,I agree to the above and consent to my participation in this study,Yes,Yes,28,Male,,No,60,59,62,68,64,61,65,62,40,76,42,58,72,26,91,68,77,73,83,60,65,76,90,81,75,69,70,72,37,41,62,25,83,79,56,60,79,81,57,69,63,85,78,74,67,63.95,68.6,62,No,No
104,1,I agree to the above and consent to my participation in this study,Yes,Yes,29,Female,,No,90,84,54,85,61,100,52,85,54,100,54,80,53,53,100,53,62,57,100,53,57,52,53,100,52,57,56,97,47,54,46,48,85,48,73,54,72,52,56,55,82,64,54,75,53,67.05,67.85,54.8,No,No
105,1,I agree to the above and consent to my participation in this study,Yes,Yes,24,Female,,No,20,57,57,68,28,95,39,52,62,41,74,63,66,26,100,56,84,86,60,83,35,63,44,83,59,72,58,27,58,63,57,31,100,42,81,72,22,47,45,46,63,79,48,59,27,52.6,62.05,61,No,No
106,1,I agree to the above and consent to my participation in this study,Yes,Yes,25,Male,,No,100,100,100,100,100,100,100,100,73,91,79,79,86,100,93,85,100,77,94,80,90,87,95,79,94,88,86,100,0,100,100,100,100,100,100,91,56,100,82,100,100,100,0,100,79,86.2,91.7,81.2,No,No
107,1,I agree to the above and consent to my participation in this study,Yes,Yes,21,Female,,No,73,75,72,65,36,85,80,75,40,78,80,79,72,32,97,73,65,34,68,75,66,67,39,84,84,66,52,70,47,59,50,19,87,60,55,39,69,72,82,70,70,75,99,81,38,69.45,68.1,40.6,No,No
108,1,I agree to the above and consent to my participation in this study,Yes,Yes,59,Female,,No,34,50,56,84,69,88,92,91,76,100,38,100,37,30,100,100,100,100,74,85,75,83,22,84,77,86,87,100,64,100,27,24,100,100,100,100,100,35,100,38,100,100,100,100,100,69,83.15,92.6,No,No
109,1,I agree to the above and consent to my participation in this study,Yes,Yes,29,Male,,No,100,9,100,84,16,100,65,53,93,100,71,100,100,53,100,91,67,100,100,29,74,100,100,100,100,38,71,99,38,57,89,50,100,100,58,95,93,72,53,100,100,100,69,53,75,78.4,75.65,86.8,No,No
110,1,I agree to the above and consent to my participation in this study,Yes,Yes,19,Female,,No,90,54,57,57,56,79,65,65,73,100,53,86,50,51,100,61,89,77,100,51,51,50,51,74,63,63,76,93,62,65,65,66,91,52,91,83,90,51,74,50,65,83,66,65,70,67.45,69.8,75.8,No,No
111,1,I agree to the above and consent to my participation in this study,Yes,Yes,25,Female,,No,56,40,31,30,45,84,24,55,38,75,54,49,33,32,99,16,83,47,49,42,51,31,47,84,19,67,42,72,50,46,22,44,77,26,52,52,55,48,63,37,60,85,23,54,40,46.7,53.8,43.8,No,No
112,1,I agree to the above and consent to my participation in this study,Yes,Yes,36,Male,,No,100,0,0,0,0,0,0,0,51,100,0,0,0,0,75,0,100,80,100,0,0,0,0,0,0,68,76,100,0,0,0,0,51,0,79,71,100,0,0,0,0,0,20,34,62,25,21.35,68,Yes,Yes
113,1,I agree to the above and consent to my participation in this study,Yes,Yes,18,"Other, please specify:",nonbinary,No,44,66,81,60,78,92,73,92,60,66,73,59,66,65,86,44,90,78,77,58,89,81,91,99,73,81,82,67,45,58,60,75,88,55,96,75,69,67,82,69,80,85,30,89,63,66.85,78.1,71.6,No,No
114,1,I agree to the above and consent to my participation in this study,Yes,Yes,22,Male,,No,57,31,45,56,43,63,61,69,52,65,69,62,62,62,92,100,48,59,67,62,43,61,34,69,57,83,51,62,46,35,71,54,83,70,56,39,87,64,59,83,65,67,68,79,58,59.35,66.15,51.8,No,No
115,1,I agree to the above and consent to my participation in this study,Yes,Yes,19,Female,,No,60,33,63,78,62,86,95,66,64,100,66,68,83,0,100,100,100,100,100,63,11,74,31,75,100,79,73,100,71,36,80,20,100,100,100,76,33,18,35,35,73,64,66,72,34,60.35,74.45,69.4,No,No
116,1,I agree to the above and consent to my participation in this study,Yes,Yes,25,Female,,No,76,81,73,87,62,100,99,100,97,0,7,0,18,82,0,14,37,64,100,100,93,91,73,100,94,98,96,96,87,86,91,88,100,95,82,89,84,61,72,100,100,96,81,65,89,70.15,78.3,87,No,No
117,1,I agree to the above and consent to my participation in this study,Yes,Yes,32,Male,,No,50,65,64,16,16,64,15,65,49,100,70,71,16,15,100,15,100,100,59,58,73,27,32,69,36,62,65,83,68,53,17,13,85,17,84,77,42,71,27,16,14,52,13,60,44,52.3,46.35,67,No,No
118,1,I agree to the above and consent to my participation in this study,Yes,Yes,25,Male,,No,100,81,100,100,96,90,36,96,80,100,80,100,86,100,100,7,100,100,100,72,100,100,100,100,27,100,100,100,92,91,94,100,0,17,100,100,100,100,100,100,100,100,30,100,100,94.8,74.95,96,No,No
119,1,I agree to the above and consent to my participation in this study,Yes,Yes,21,Male,,No,87,57,67,63,63,74,65,61,32,36,21,43,39,25,35,38,34,71,36,42,42,40,61,28,43,45,34,85,71,88,78,77,84,75,98,22,64,66,58,63,62,64,63,65,67,57.3,58,45.2,No,No
120,1,I agree to the above and consent to my participation in this study,Yes,Yes,26,Female,,No,100,30,28,81,94,78,100,100,91,100,87,84,100,84,86,100,100,84,100,85,85,100,100,100,100,100,100,88,14,0,23,0,0,88,15,64,100,26,27,100,85,27,100,100,90,67.9,77.85,85.8,No,No
121,1,I agree to the above and consent to my participation in this study,Yes,Yes,23,Male,,No,68,41,70,59,58,66,62,87,69,78,69,58,80,79,69,84,88,88,67,58,68,69,56,72,66,81,73,100,33,50,68,75,100,51,66,68,69,63,62,56,58,100,67,80,83,64.3,73.25,76.2,No,No
122,1,I agree to the above and consent to my participation in this study,Yes,Yes,27,Male,,No,60,58,47,53,75,64,63,63,69,72,62,67,58,82,81,78,83,70,65,59,34,41,69,61,64,69,67,71,68,79,66,71,75,73,87,82,37,62,17,37,60,64,69,28,39,55.65,68.95,65.4,No,No
123,1,I agree to the above and consent to my participation in this study,Yes,Yes,21,Male,,No,52,51,51,51,51,78,51,78,42,100,51,51,51,51,78,51,63,52,51,51,51,51,57,85,51,77,61,100,51,63,51,51,100,51,81,80,60,51,70,51,80,93,60,95,77,57.95,69.1,62.4,No,No
124,1,I agree to the above and consent to my participation in this study,Yes,Yes,26,Male,,No,100,51,78,51,51,100,100,100,100,100,51,100,51,51,100,100,100,100,100,51,100,51,52,100,100,100,100,100,51,100,50,2,100,52,100,100,100,51,100,51,100,100,100,100,80,74.35,85.4,96,No,No
125,1,I agree to the above and consent to my participation in this study,Yes,Yes,30,Female,,No,59,56,61,59,47,46,59,58,60,71,48,45,46,43,56,62,62,71,80,57,45,47,48,57,69,49,70,69,62,48,47,47,58,59,58,67,73,59,46,54,80,65,75,58,69,56.6,57.8,67.4,No,No
126,1,I agree to the above and consent to my participation in this study,Yes,Yes,29,Male,,No,100,74,80,85,80,100,76,70,85,100,84,73,68,95,100,79,100,100,100,75,85,66,70,100,62,83,80,100,81,82,86,87,100,78,80,88,90,73,69,54,100,100,100,52,87,81.25,85.6,88,No,No
127,1,I agree to the above and consent to my participation in this study,Yes,Yes,19,Male,,No,42,29,35,69,28,73,69,55,30,70,34,62,28,80,92,90,71,58,67,68,60,29,28,65,73,64,59,94,40,66,25,93,90,85,78,67,25,22,32,81,44,50,62,73,28,48.9,68.15,48.4,No,No
128,1,I agree to the above and consent to my participation in this study,Yes,Yes,22,Male,,No,62,36,59,55,60,73,45,72,59,84,49,64,52,50,87,50,93,63,74,67,79,57,46,64,54,73,69,80,52,85,40,30,92,36,90,68,33,69,43,43,62,65,58,72,58,59.15,63.6,63.4,No,No
129,1,I agree to the above and consent to my participation in this study,Yes,Yes,28,Female,,No,20,74,70,83,93,84,63,66,63,12,82,84,79,98,98,5,100,78,72,25,32,64,73,97,61,94,87,51,37,70,78,61,100,63,77,87,24,94,71,83,87,95,63,87,89,60.25,78.25,80.8,No,No
130,1,I agree to the above and consent to my participation in this study,Yes,Yes,19,Female,,No,4,0,86,68,85,100,31,71,87,100,0,88,0,0,100,25,72,61,100,11,97,0,56,100,90,82,80,82,0,87,0,0,100,9,83,60,0,0,100,0,77,99,0,64,92,41.15,62.2,76,No,No
